股票代码,股票名称,最新数据日期,最新收盘价,是否命中,命中策略,选股理由
000001,平安银行,2026-07-02,1284.091505,否,,
000002,万科A,2026-07-02,410.9108913,否,,
000004,国华退,2026-07-02,2.66023006,否,,
000006,深振业A,2026-07-02,322.17370395,否,,
000007,全新好,2026-07-02,81.182112,否,,
000008,神州高铁,2026-07-02,58.59315336,否,,
000009,中国宝安,2026-07-02,52.24212279,否,,
000010,*ST美丽,2026-07-02,20.25445448,否,,
000011,深物业A,2026-07-02,30.382326,否,,
000012,南玻A,2026-07-02,134.06196642,否,,
000014,沙河股份,2026-07-02,88.9727933,否,,
000016,*ST康佳A,2026-07-02,48.5385491,否,,
000017,深中华A,2026-07-02,13.559328,否,,
000019,深粮控股,2026-07-02,28.120875,否,,
000020,深华发A,2026-07-02,18.52516168,否,,
000021,深科技,2026-07-02,630.41196387,否,,
000025,特力A,2026-07-02,27.184575,否,,
000026,飞亚达,2026-07-02,167.07155332,否,,
000027,深圳能源,2026-07-02,99.890091,否,,
000028,国药一致,2026-07-02,97.65598825,否,,
000029,深深房A,2026-07-02,33.64965331,否,,
000030,富奥股份,2026-07-02,11.62152392,否,,
000031,大悦城,2026-07-02,24.41171275,否,,
000032,深桑达A,2026-07-02,70.6970325,否,,
000034,神州数码,2026-07-02,78.22458804,否,,
000035,中国天楹,2026-07-02,12.42004863,否,,
000036,华联控股,2026-07-02,48.55363716,否,,
000037,深南电A,2026-07-02,38.52019584,否,,
000039,中集集团,2026-07-02,408.75122778,否,,
000042,中洲控股,2026-07-02,75.55872519,否,,
000045,深纺织A,2026-07-02,21.64656816,否,,
000048,京基智农,2026-07-02,170.12207992,否,,
000049,德赛电池,2026-07-02,151.8909479,否,,
000050,深天马A,2026-07-02,62.48485013,否,,
000055,方大集团,2026-07-02,20.60936976,否,,
000056,*ST皇庭,2026-07-02,7.60178426,否,,
000058,深赛格,2026-07-02,14.0575142,否,,
000059,华锦股份,2026-07-02,5.4985342,否,,
000060,中金岭南,2026-07-02,240.24581217,否,,
000061,农产品,2026-07-02,130.52451854,否,,
000062,深圳华强,2026-07-02,194.05282064,否,,
000063,中兴通讯,2026-07-02,483.33816472,否,,
000065,北方国际,2026-07-02,184.7934256,否,,
000066,中国长城,2026-07-02,143.91725712,否,,
000068,华控赛格,2026-07-02,4.65173232,否,,
000069,华侨城A,2026-07-02,59.04323076,否,,
000070,特发信息,2026-07-02,45.1849879,否,,
000078,ST海王,2026-07-02,14.20438922,否,,
000088,盐田港,2026-07-02,28.14628866,否,,
000089,深圳机场,2026-07-02,37.50540028,否,,
000090,天健集团,2026-07-02,22.88659915,否,,
000096,广聚能源,2026-07-02,15.26297116,否,,
000099,中信海直,2026-07-02,43.73688358,否,,
000100,TCL科技,2026-07-02,18.18716352,否,,
000151,中成股份,2026-07-02,21.781326,否,,
000153,丰原药业,2026-07-02,33.50163877,否,,
000155,川能动力,2026-07-02,14.80628448,否,,
000156,华数传媒,2026-07-02,5.08096476,否,,
000157,中联重科,2026-07-02,491.60676762,否,,
000158,常山北明,2026-07-02,28.57413472,否,,
000159,国际实业,2026-07-02,12.0438725,否,,
000166,申万宏源,2026-07-02,7.1315204,否,,
000301,东方盛虹,2026-07-02,26.30229072,否,,
000333,美的集团,2026-07-02,456.00277845,否,,
000338,潍柴动力,2026-07-02,619.024164,否,,
000400,许继电气,2026-07-02,129.87363056,否,,
000401,金隅冀东,2026-07-02,12.62407642,否,,
000402,金融街,2026-07-02,78.93045468,否,,
000403,派林生物,2026-07-02,58.5584144,否,,
000404,长虹华意,2026-07-02,20.1928638,否,,
000407,胜利股份,2026-07-02,31.3712217,否,,
000408,藏格矿业,2026-07-02,299.0523764,否,,
000409,云鼎科技,2026-07-02,17.88392145,否,,
000410,沈阳机床,2026-07-02,10.8172821,否,,
000411,英特集团,2026-07-02,24.85132951,否,,
000415,渤海租赁,2026-07-02,66.8770619,否,,
000417,合百集团,2026-07-02,123.72648288,否,,
000419,通程控股,2026-07-02,56.89091772,否,,
000420,吉林化纤,2026-07-02,19.59254858,否,,
000421,南京公用,2026-07-02,34.2234564,否,,
000422,湖北宜化,2026-07-02,167.60270772,否,,
000423,东阿阿胶,2026-07-02,411.8729208,否,,
000425,徐工机械,2026-07-02,279.4704948,否,,
000426,兴业银锡,2026-07-02,435.01211438,否,,
000428,华天酒店,2026-07-02,27.2678573,否,,
000429,粤高速A,2026-07-02,51.42983481,否,,
000430,张家界,2026-07-02,26.31121559,否,,
000488,ST晨鸣,2026-07-02,15.4261815,否,,
000498,山东路桥,2026-07-02,11.65134432,否,,
000501,武商集团,2026-07-02,47.80832868,否,,
000503,国新健康,2026-07-02,51.6128382,否,,
000504,南华生物,2026-07-02,19.59122156,否,,
000505,京粮控股,2026-07-02,24.6460456,否,,
000506,招金黄金,2026-07-02,27.6427593,否,,
000507,珠海港,2026-07-02,20.94092658,否,,
000509,华塑控股,2026-07-02,35.57285144,否,,
000510,新金路,2026-07-02,219.82200912,否,,
000513,丽珠集团,2026-07-02,248.08623543,否,,
000514,渝开发,2026-07-02,20.59383942,否,,
000516,国际医学,2026-07-02,118.07907012,否,,
000517,荣安地产,2026-07-02,27.88005024,否,,
000518,四环生物,2026-07-02,27.21902157,否,,
000519,中兵红箭,2026-07-02,112.56913584,否,,
000520,凤凰航运,2026-07-02,18.66496874,否,,
000521,长虹美菱,2026-07-02,26.73440431,是,MaVolumeStrategy,5日均线上穿20日均线，且成交量大于20日均量1.5倍。
000523,红棉股份,2026-07-02,17.5402327,否,,
000524,岭南控股,2026-06-23,33.91710795,否,,
000525,红太阳,2026-07-02,25.26010404,否,,
000526,学大教育,2026-07-02,42.98932278,否,,
000528,柳工,2026-07-02,75.09334329,否,,
000529,广弘控股,2026-07-02,16.12642436,否,,
000530,冰山冷热,2026-07-02,38.23293896,否,,
000531,穗恒运A,2026-07-02,75.86426817,否,,
000532,华金资本,2026-07-02,31.24758681,否,,
000533,顺钠股份,2026-07-02,18.2575554,否,,
000534,万泽股份,2026-07-02,82.27821476,否,,
000536,华映科技,2026-07-02,9.58436486,否,,
000537,绿发电力,2026-07-02,30.55334163,否,,
000538,云南白药,2026-07-02,1120.65137256,否,,
000539,粤电力A,2026-07-02,98.6658948,否,,
000541,佛山照明,2026-07-02,137.33223219,否,,
000543,皖能电力,2026-07-02,29.344972,否,,
000544,中原环保,2026-07-02,25.30850715,否,,
000545,金浦钛业,2026-07-02,8.7483462,否,,
000546,金圆股份,2026-07-02,7.7492448,否,,
000547,航天发展,2026-07-02,178.97944384,否,,
000548,湖南投资,2026-07-02,7.56694532,否,,
000550,江铃汽车,2026-07-02,44.86421132,否,,
000551,创元科技,2026-07-02,130.6283212,否,,
000552,甘肃能化,2026-07-02,19.02591522,否,,
000553,安道麦A,2026-07-02,18.50442,否,,
000554,泰山石油,2026-07-02,28.79145181,否,,
000555,神州信息,2026-07-02,22.97124441,否,,
000557,西部创业,2026-07-02,19.3499637,否,,
000558,天府文旅,2026-07-02,16.18255524,否,,
000559,万向钱潮,2026-07-02,433.40788191,否,,
000560,我爱我家,2026-07-02,8.60574683,否,,
000561,烽火电子,2026-07-02,14.72764275,否,,
000563,陕国投A,2026-07-02,40.0264346,否,,
000564,供销大集,2026-07-02,7.96175774,否,,
000565,渝三峡A,2026-07-02,36.85641948,否,,
000566,海南海药,2026-07-02,53.16289012,是,TurtleTradeStrategy,收盘价突破前20个交易日高点，成交额过亿，且当日阳线真涨。
