股票代码,股票名称,最新数据日期,最新收盘价,是否命中,命中策略,选股理由
000001,平安银行,2026-07-03,1285.34062125,否,,
000002,万科A,2026-07-03,414.93942945,否,,
000004,国华退,2026-07-03,2.9197647,否,,
000006,深振业A,2026-07-03,324.80369337,否,,
000007,全新好,2026-07-03,81.8586296,否,,
000008,神州高铁,2026-07-03,58.34696364,否,,
000009,中国宝安,2026-07-03,53.24197203,否,,
000010,*ST美丽,2026-07-03,20.14671802,否,,
000011,深物业A,2026-07-03,30.98997252,否,,
000012,南玻A,2026-07-03,136.1984121,否,,
000014,沙河股份,2026-07-03,90.4969525,否,,
000016,*ST康佳A,2026-07-03,51.02280555,否,,
000017,深中华A,2026-07-03,13.76271792,否,,
000019,深粮控股,2026-07-03,28.2162,否,,
000020,深华发A,2026-07-03,18.65891736,否,,
000021,深科技,2026-07-03,629.06180439,否,,
000025,特力A,2026-07-03,27.481134,否,,
000026,飞亚达,2026-07-03,172.34666834,否,,
000027,深圳能源,2026-07-03,101.01788235,否,,
000028,国药一致,2026-07-03,100.67219852,否,,
000029,深深房A,2026-07-03,35.15311548,否,,
000030,富奥股份,2026-07-03,11.97280424,否,,
000031,大悦城,2026-07-03,24.2981699,否,,
000032,深桑达A,2026-07-03,67.69482975,否,,
000034,神州数码,2026-07-03,79.67741178,否,,
000035,中国天楹,2026-07-03,12.44641816,否,,
000036,华联控股,2026-07-03,48.32988768,否,,
000037,深南电A,2026-07-03,38.73515229,否,,
000039,中集集团,2026-07-03,429.55281698,否,,
000042,中洲控股,2026-07-03,77.59809699,否,,
000045,深纺织A,2026-07-03,21.56066908,否,,
000048,京基智农,2026-07-03,161.60075928,否,,
000049,德赛电池,2026-07-03,158.35978994,否,,
000050,深天马A,2026-07-03,58.23768215,否,,
000055,方大集团,2026-07-03,20.67070717,否,,
000056,*ST皇庭,2026-07-03,7.81100768,否,,
000058,深赛格,2026-07-03,14.26157489,否,,
000059,华锦股份,2026-07-03,5.39253836,否,,
000060,中金岭南,2026-07-03,234.40988151,否,,
000061,农产品,2026-07-03,130.52451854,否,,
000062,深圳华强,2026-07-03,196.89446624,否,,
000063,中兴通讯,2026-07-03,497.84378348,否,,
000065,北方国际,2026-07-03,184.22773144,否,,
000066,中国长城,2026-07-03,142.41898608,否,,
000068,华控赛格,2026-07-03,4.66734216,否,,
000069,华侨城A,2026-07-03,59.04323076,否,,
000070,特发信息,2026-07-03,45.41217499,否,,
000078,ST海王,2026-07-03,14.90460559,否,,
000088,盐田港,2026-07-03,28.2825903,否,,
000089,深圳机场,2026-07-03,38.10452808,否,,
000090,天健集团,2026-07-03,23.18675127,否,,
000096,广聚能源,2026-07-03,15.56057784,否,,
000099,中信海直,2026-07-03,44.36987776,否,,
000100,TCL科技,2026-07-03,17.3576814,否,,
000151,中成股份,2026-07-03,21.96802308,否,,
000153,丰原药业,2026-07-03,34.38826059,否,,
000155,川能动力,2026-07-03,14.70831072,否,,
000156,华数传媒,2026-07-03,5.19316272,否,,
000157,中联重科,2026-07-03,504.98861373,否,,
000158,常山北明,2026-07-03,28.24544452,否,,
000159,国际实业,2026-07-03,12.19715815,否,,
000166,申万宏源,2026-07-03,7.1946312,否,,
000301,东方盛虹,2026-07-03,27.2354578,否,,
000333,美的集团,2026-07-03,461.6280562,否,,
000338,潍柴动力,2026-07-03,659.8234839,否,,
000400,许继电气,2026-07-03,131.17484537,否,,
000401,金隅冀东,2026-07-03,12.91596258,否,,
000402,金融街,2026-07-03,79.57742562,否,,
000403,派林生物,2026-07-03,59.3894836,否,,
000404,长虹华意,2026-07-03,20.14331076,否,,
000407,胜利股份,2026-07-03,33.0310747,否,,
000408,藏格矿业,2026-07-03,314.2620603,否,,
000409,云鼎科技,2026-07-03,18.09810015,否,,
000410,沈阳机床,2026-07-03,10.9476108,否,,
000411,英特集团,2026-07-03,25.30220742,否,,
000415,渤海租赁,2026-07-03,69.88811445,否,,
000417,合百集团,2026-07-03,119.97719552,否,,
000419,通程控股,2026-07-03,57.98497383,否,,
000420,吉林化纤,2026-07-03,19.9776601,否,,
000421,南京公用,2026-07-03,35.4885258,否,,
000422,湖北宜化,2026-07-03,161.13024543,否,,
000423,东阿阿胶,2026-07-03,411.78547432,否,,
000425,徐工机械,2026-07-03,286.96839394,否,,
000426,兴业银锡,2026-07-03,447.81031524,否,,
000428,华天酒店,2026-07-03,27.35581813,否,,
000429,粤高速A,2026-07-03,51.72776289,否,,
000430,张家界,2026-07-03,26.38242321,否,,
000488,ST晨鸣,2026-07-03,16.0463295,否,,
000498,山东路桥,2026-07-03,11.7943056,否,,
000501,武商集团,2026-07-03,48.42388656,否,,
